Feature,MI_score
APICall::Landroid/view/ViewStub.setLayoutResource(),9.44032216290136e-05
APICall::Landroid/os/Bundle.getParcelableArrayList(),6.578611019694702e-05
Permission::WRITE_EXTERNAL_STORAGE,6.47744441114595e-05
APICall::Landroid/view/View$MeasureSpec.makeMeasureSpec(),5.8954470940120185e-05
APICall::Landroid/view/ViewGroup.setTranslationY(),5.831946363450691e-05
APICall::Landroid/widget/PopupWindow.showAsDropDown(),5.7529540347350805e-05
Permission::WAKE_LOCK,4.887764996686084e-05
APICall::Landroid/widget/ImageView.setId(),4.701709082016725e-05
APICall::Landroid/util/Base64OutputStream.close(),4.605519394129676e-05
APICall::Landroid/content/pm/PackageManager.getActivityIcon(),4.56378019262349e-05
APICall::Landroid/view/Window.setUiOptions(),4.357809700430981e-05
Intent::AUDIO_BECOMING_NOISY,4.347457849177179e-05
APICall::Landroid/util/Base64OutputStream.write(),4.2993461948415135e-05
APICall::Landroid/view/View.setOnTouchListener(),3.87113846180287e-05
APICall::Landroid/widget/RelativeLayout.onAttachedToWindow(),3.18947545119852e-05
APICall::Landroid/text/Html.fromHtml(),3.1388336095172775e-05
APICall::Landroid/net/wifi/WifiManager$WifiLock.isHeld(),2.9277448571299325e-05
APICall::Landroid/os/Binder.getCallingPid(),2.923253729023023e-05
APICall::Landroid/widget/Scroller.getCurrY(),2.8806047318974404e-05
Permission::ACCESS_NETWORK_STATE,2.6167602104554266e-05
APICall::Landroid/view/View.setVisibility(),2.5855888571540975e-05
APICall::Landroid/view/View.requestFocus(),2.47774048170446e-05
APICall::Landroid/os/Handler.removeMessages(),2.4046296380170196e-05
APICall::Landroid/view/ViewConfiguration.getScaledPagingTouchSlop(),2.3232748649348878e-05
APICall::Landroid/content/IntentFilter.addDataScheme(),2.1212068314846455e-05
APICall::Landroid/content/Intent.setType(),2.110778774230826e-05
APICall::Landroid/widget/TextView.setSingleLine(),2.0304735071724478e-05
APICall::Landroid/view/View.setTag(),2.0094579530532952e-05
APICall::Landroid/view/animation/Transformation.getAlpha(),1.910480577834578e-05
APICall::Landroid/view/MotionEvent.obtain(),1.873694937787329e-05
APICall::Landroid/view/VelocityTracker.clear(),1.822341768592528e-05
APICall::Landroid/net/Uri.writeToParcel(),1.7680417848914276e-05
APICall::Landroid/content/Intent.getData(),1.7108171949498097e-05
APICall::Landroid/view/accessibility/AccessibilityNodeInfo.setScrollable(),1.6628448182648414e-05
APICall::Landroid/content/Intent.hasExtra(),1.6338633133827773e-05
APICall::Landroid/view/accessibility/AccessibilityNodeInfo.setPackageName(),1.6250225004621477e-05
APICall::Landroid/widget/AdapterView$OnItemClickListener.onItemClick(),1.5463861282982716e-05
APICall::Landroid/os/SystemClock.uptimeMillis(),1.5283230846402374e-05
APICall::Landroid/view/accessibility/AccessibilityNodeInfo.setLongClickable(),1.506870712525421e-05
APICall::Landroid/view/View$AccessibilityDelegate.sendAccessibilityEventUnchecked(),1.4380235974192912e-05
APICall::Landroid/view/accessibility/AccessibilityNodeInfo.isLongClickable(),1.3784892741591781e-05
APICall::Landroid/view/View.getScrollY(),1.316751684915518e-05
APICall::Landroid/os/IBinder.linkToDeath(),1.284951257368716e-05
APICall::Landroid/view/View.invalidate(),1.2759151617330877e-05
APICall::Landroid/view/View.getScrollX(),1.2616837530260439e-05
APICall::Landroid/os/IBinder.queryLocalInterface(),1.2501564638389695e-05
APICall::Landroid/view/accessibility/AccessibilityNodeInfo.getBoundsInScreen(),1.2153852192248182e-05
APICall::Landroid/view/SubMenu.setHeaderTitle(),1.1984155778674288e-05
APICall::Landroid/widget/PopupWindow.setWindowLayoutMode(),1.1631783602958357e-05
APICall::Landroid/view/VelocityTracker.recycle(),1.09310603919055e-05
APICall::Landroid/content/Context.createPackageContext(),1.054456545221405e-05
APICall::Landroid/os/Parcel.obtain(),1.0089829705739461e-05
APICall::Landroid/net/wifi/WifiManager$WifiLock.release(),9.681109953113554e-06
APICall::Landroid/content/Intent.getStringExtra(),9.369212709386954e-06
Permission::INTERNET,8.859570954127677e-06
APICall::Landroid/os/Bundle.getBoolean(),8.328901711068815e-06
APICall::Landroid/os/Parcel.writeInterfaceToken(),8.071139612791933e-06
APICall::Landroid/content/Intent.createChooser(),6.4364976808672925e-06
APICall::Landroid/content/pm/PackageManager.queryIntentServices(),6.097248802294786e-06
APICall::Landroid/os/Parcel.recycle(),5.942798121244541e-06
APICall::Landroid/view/LayoutInflater.from(),5.765254865286451e-06
APICall::Landroid/os/IBinder.transact(),4.764006147489619e-06
APICall::Landroid/widget/PopupWindow.setBackgroundDrawable(),4.383171922361928e-06
APICall::Landroid/widget/PopupWindow.setFocusable(),4.369451647723288e-06
APICall::Landroid/content/Intent.makeMainActivity(),4.1793155968194995e-06
Permission::WRITE_SETTINGS,3.7267360549764206e-06
APICall::Landroid/content/pm/PackageManager.getApplicationInfo(),3.6771529438039963e-06
APICall::Landroid/net/http/HttpResponseCache.getInstalled(),3.674315545432183e-06
APICall::Landroid/util/Xml.newSerializer(),3.386822323869776e-06
APICall::Landroid/os/Parcel.readFloat(),2.741984870630043e-06
APICall::Landroid/view/MenuItem.getIntent(),2.718566390447208e-06
APICall::Landroid/util/Base64.encodeToString(),2.4643550077807497e-06
APICall::Landroid/content/Intent.putExtra(),2.3938965547087854e-06
APICall::Landroid/os/Parcel.writeDouble(),1.8466486116364145e-06
APICall::Landroid/widget/ImageView.getLayoutParams(),1.5896756054845085e-06
APICall::Landroid/widget/PopupWindow.setOnDismissListener(),1.3453180633393735e-06
APICall::Landroid/view/ViewTreeObserver.removeGlobalOnLayoutListener(),6.657124375364365e-07
APICall::Landroid/view/MenuItem.getGroupId(),6.489651314667277e-07
APICall::Landroid/content/ContentValues.put(),6.268450764290723e-07
APICall::Landroid/content/Context.checkCallingOrSelfPermission(),5.314665476319202e-07
APICall::Landroid/view/MenuItem.getIcon(),4.778491276002939e-07
APICall::Landroid/content/SharedPreferences$Editor.putInt(),3.977396041132675e-07
APICall::Landroid/view/ViewGroup.isInEditMode(),3.491004645084228e-07
APICall::Landroid/widget/TextView.setTypeface(),2.1786453488492619e-07
APICall::Landroid/view/Menu.add(),2.018410383830549e-07
APICall::Landroid/widget/LinearLayout.requestFocus(),1.7591036992337106e-07
APICall::Landroid/content/Intent.toUri(),1.723939498377014e-07
APICall::Landroid/widget/ListAdapter.unregisterDataSetObserver(),1.6848800415969478e-07
APICall::Landroid/view/ViewGroup.onInitializeAccessibilityEvent(),1.570117734717158e-07
APICall::Landroid/view/MenuItem.setShortcut(),1.544629726901725e-07
APICall::Landroid/widget/PopupWindow.setOutsideTouchable(),9.857636512622392e-08
APICall::Landroid/content/Context.getApplicationInfo(),9.824484815956769e-08
APICall::Landroid/widget/PopupWindow.setTouchInterceptor(),8.079838315078192e-08
APICall::Landroid/widget/ListAdapter.registerDataSetObserver(),2.631161971633489e-08
APICall::Landroid/view/View.isShown(),2.137141702496237e-08
