,SHA256,NOME,PACOTE,API_MIN,API,vt_detection,CLASS,VT_Malware_Deteccao,AZ_Malware_Deteccao;
0,080da3f89e42250d7462e17b40535cfca9b1a6a8370a31f5aa856159b844d8e5,2019 شاب دوزي‎,com.arabprod.aghani.douzi,10,26,0,0,0,0;
1,461760796dd7789673cfaf68383da103033d54eb4a5267cf14a3d35f370878f5,Ishas,appinventor.ai_shameertanur.Ishas,7,28,0,0,1,0;
2,dab8b14c3178b15200b23e47cecb9cc26b51c87d599ac061361c2d0f6bed1560,Lashes&Go,net.flowww.z.sk596381,16,26,0,0,0,0;
3,db802025f9ec474d79793ac2aac556d2b52162ebc493e2e70ad50b8f315eaa3f,58到家,com.wuba.jiazheng,17,25,5,1,5,5;
4,a44920abdd4915117412ad7695b8d95a1da5edfa513b09dcfe5acf819fd3ea3b,TEDDY AFRO,million.t.com.teddy.afro.com,16,27,2,1,1,2;
5,cdc6026afb1d6dafa14701a25bfa4762e7d5a56c19206591758264fa98fe2979,Color VPN,com.color.vpn,21,29,4,1,4,4;
6,20dff15861dc475b98b440af9f08336395ba344950dd5429e8b967f7649b215f,Hola,com.jiaoyou.overseas,21,29,0,0,0,0;
7,6b7362ffb710e02d71940eb81807559eb152cd9d5b00be6cd03b295abff469be,Kids Song Monkey Banana,com.monkey.banana.song3,15,23,0,0,0,0;
8,b582114b02fb651364737cc8be1aa5a3907791b00de9c7adb01b659d3dcd6db0,AppLock,com.flashclean.applock,16,21,0,0,0,0;
9,39e1cb1a2c895d386bb1feed0a95e182b8837bac4a0f3abb48dd43ad28279b69,Gaya Hidup Rosulalloh,com.ms165.gayahiduprosulalloh,21,29,0,0,0,0;
10,20a4233ff6bbc3d9625c3e0f2575348eba1e43b0ac044464e1c9a382da13c989,Bikekin,de.chkal.bikekin,9,19,0,0,0,0;
11,20dca277fda6bcd8d4525e9acf7b6dd8bd03afe864ad21f9385e0cda5c0f4d04,Kolkata News,io.kodular.ralom4404.kolktanews,16,28,0,0,1,0;
12,080f5c3640b9b8b38ecae5822fd2bf81fa10ab751891c93f72c0c2eb847c4ba1,CA Study,com.app.cacolleague,21,28,0,0,0,0;
13,6b6eb6829cc461589933b6e644b8bbd79c0e3c22677a83a35819156132f334bf,BOC,com.boc.bocsoft.bocmbovsa.buss,21,28,0,0,0,0;
14,90785628fe9af422055a37f75e573220ae3685d2d550d17e072a904d57e17117,Mountain Sniper : Battlefront,com.mountain.sniper.battlefront.dirk,9,25,0,0,1,0;
15,39decb9134d35926b52453bbf419a2545596bed0d1cd58afe1691e6c05a59b9b,Shelf,shelf.mobile.android,15,26,0,0,0,0;
16,000566e760a5e73feb41bf196361baece536db53702bbfdab1b20730e9ba46ae,Drive 4x4 Luxury Snow SUV,com.litestudios.drive.snow.offroad.prado.jeep.simulator.apps,9,23,7,1,11,7;
17,6d7bea97c0b0654af6a39c025c9f1b7a464d27dd1976d37f270a585cc11f911f,YouTube SEO,com.thunkable.android.smartcoralwork.Dream_App_SEO,14,22,3,1,1,3;
18,461da7ee398e95abbd683cd76e9a42b4dd4c056e4dde6bb968a063cd422f4139,memahami cahaya untuk portrait lebih baik charity california to donate car,com.memahamicahayauntukportraitlebihbaikcharitycaliforniatodonatecar,15,26,0,0,0,0;
19,db8698ad0b0d8eb3e6921cc1608f7350806d9697b6abbd92e694c1ef1e56841b,Ponto Comercial,com.app.pontocomercial,19,26,1,1,0,1;
20,db812a88067836dab8917869b11662be77da6a8a16a05756365cc8479a3b15f8,Polarr,photo.editor.polarr,23,26,5,1,5,5;
21,39e153bfb9629ab9b42e06fc13ee2ab1a508f131a59a560cc1f827222ccec841,Find My Team,com.smart_apps1909.FindMyTeam,19,26,0,0,0,0;
22,000234b3b17aa773825c5cc4512702add18509bdebb039f36aa6f5d0ee7a78b6,微住物业版,org.welive,16,25,5,1,6,5;
23,28c519e93cba89f9015cbcb230d9788f18380aacaf5f6a1a31bbf3b5b8ead837,TOUCH,com.hasbro.playdohtouch,19,25,2,1,0,2;
24,db8521f7d4953b0cfa53a065486c5519885ff0b61c0bcae084412def94e2cd7c,Grand Cleaner,com.grand.cleaner.henry.labs,17,28,20,1,20,20;
