Feature,MI_score
Permission::SEND_SMS,0.2188969086878846
Permission::INTERNET,0.21211890413487053
Feature_65,0.00012995631408718733
Feature_78,0.00010988819413992879
Feature_22,0.00010162487586340418
Feature_53,7.123920616858292e-05
Feature_31,7.04016103799665e-05
Feature_28,6.776443234512985e-05
Feature_79,6.648594999170143e-05
Feature_40,5.756751536800664e-05
Feature_61,5.73773054842186e-05
Feature_6,5.632862333537769e-05
Feature_74,4.882298692332476e-05
Feature_85,4.573293643583831e-05
Feature_12,4.3190806801873816e-05
Feature_63,4.162247332373248e-05
Feature_66,4.135870882820969e-05
Feature_60,3.7332529129352476e-05
Feature_59,3.5774294262713724e-05
Permission::WRITE_EXTERNAL_STORAGE,3.4425325100506665e-05
Feature_21,3.339085347980886e-05
Feature_51,3.2729912604889666e-05
Feature_27,3.244181186429218e-05
Feature_77,3.114328652137344e-05
Feature_82,3.0712280961686655e-05
Feature_0,2.9439839368705645e-05
Feature_35,2.8773463095432827e-05
Feature_73,2.778097111455491e-05
Feature_29,2.5694020036881593e-05
Feature_58,2.458883366729392e-05
Feature_23,2.3176211611408704e-05
Feature_26,2.2972531863008072e-05
Feature_20,2.2451370896792167e-05
Feature_70,1.942765760210019e-05
Feature_52,1.926476316826964e-05
Feature_67,1.9048919692177257e-05
Feature_41,1.8386920426438635e-05
Feature_30,1.825099826929799e-05
Feature_46,1.6932687164628035e-05
Feature_17,1.675273654921927e-05
Feature_9,1.4638670344346849e-05
Feature_14,1.4342974069436742e-05
Feature_84,1.4180894182758141e-05
Feature_5,1.4079309563541642e-05
Feature_15,1.3468680828243595e-05
Feature_71,1.3341417175571912e-05
Feature_68,1.3244883626806203e-05
Feature_76,1.1978020012459734e-05
Feature_39,1.1606917269257888e-05
Feature_57,1.1105745640727083e-05
Feature_1,1.0742343621972239e-05
Feature_38,1.0697781181179256e-05
Feature_45,9.850150475998465e-06
Feature_4,9.436500848392093e-06
Feature_3,9.00868595954396e-06
Feature_64,8.437070235234323e-06
Feature_32,7.94128576958597e-06
Feature_13,6.870136362413515e-06
Feature_49,6.812110562137708e-06
Feature_83,5.893051947758465e-06
Feature_42,5.430337851275446e-06
Feature_19,5.311013284214905e-06
Feature_80,5.061153013408148e-06
Feature_56,5.02259443463382e-06
Feature_16,4.38691780552114e-06
Feature_8,4.263475590016164e-06
Feature_72,3.931652163280397e-06
Feature_37,3.7161881247249617e-06
Feature_25,3.4459967234723443e-06
Feature_69,3.2324591165977523e-06
Feature_44,3.1197737398458436e-06
Feature_86,2.897121667677638e-06
Feature_47,2.6827141774155017e-06
Feature_55,1.8599466531377118e-06
Feature_54,1.82774209900316e-06
Permission::WAKE_LOCK,1.7900745975518717e-06
Feature_7,1.7165522344098072e-06
Permission::READ_PHONE_STATE,1.4023275539121194e-06
Feature_75,1.2371771821451105e-06
Feature_81,1.1761997076864539e-06
Feature_62,7.76756538811707e-07
Feature_87,6.208385971429031e-07
Feature_43,6.012897763585379e-07
Feature_50,4.4266911258805663e-07
Feature_34,3.793200077373271e-07
Feature_10,2.8160999193671543e-07
Feature_24,2.7047624850951024e-07
Feature_33,2.0738437550571476e-07
Feature_11,1.9872055434522196e-07
Feature_2,1.9658592614879566e-07
Feature_36,1.8286641051412644e-07
Feature_48,1.8245476240963399e-07
Permission::RECEIVE_BOOT_COMPLETED,1.4707398887647827e-07
Feature_18,2.5990000429576554e-08
Permission::ACCESS_FINE_LOCATION,1.9116629279558595e-08
