Feature,MI_score
Permission::WAKE_LOCK,0.6827182321870207
Permission::WRITE_SETTINGS,0.07862328880877929
Permission::WRITE_EXTERNAL_STORAGE,0.05983890059913316
APICall::Landroid/view/ViewStub.setLayoutResource(),0.029894567966726123
APICall::Landroid/net/wifi/WifiManager$WifiLock.release(),0.02735710275060946
APICall::Landroid/net/wifi/WifiManager$WifiLock.isHeld(),0.024416513602101092
APICall::Landroid/net/http/HttpResponseCache.getInstalled(),0.015192697216381126
APICall::Landroid/content/Intent.setType(),0.014315749591921209
APICall::Landroid/view/MenuItem.getIntent(),0.012187374600883483
APICall::Landroid/content/Intent.putExtra(),0.01201672011862591
APICall::Landroid/widget/ImageView.getLayoutParams(),0.011124425390946796
APICall::Landroid/os/Bundle.getBoolean(),0.010777437936844547
APICall::Landroid/content/Intent.hasExtra(),0.01000591638447973
APICall::Landroid/content/Intent.createChooser(),0.009368859525164266
APICall::Landroid/widget/PopupWindow.setOnDismissListener(),0.00877406376480716
APICall::Landroid/widget/ListAdapter.unregisterDataSetObserver(),0.008617513084682338
APICall::Landroid/view/ViewGroup.onInitializeAccessibilityEvent(),0.008545643960642169
APICall::Landroid/widget/PopupWindow.setBackgroundDrawable(),0.008363860538956991
Permission::ACCESS_NETWORK_STATE,0.008363010480801323
APICall::Landroid/widget/PopupWindow.setTouchInterceptor(),0.008270122128320012
APICall::Landroid/widget/ListAdapter.registerDataSetObserver(),0.008127063014368663
APICall::Landroid/view/LayoutInflater.from(),0.0081167463801666
APICall::Landroid/widget/PopupWindow.setFocusable(),0.008065744382246165
APICall::Landroid/view/MenuItem.getGroupId(),0.007945519473208096
APICall::Landroid/content/IntentFilter.addDataScheme(),0.00782421535135952
APICall::Landroid/view/MenuItem.getIcon(),0.007514393177364409
APICall::Landroid/view/Menu.add(),0.007361853070826541
APICall::Landroid/content/pm/PackageManager.getActivityIcon(),0.006508166526560777
APICall::Landroid/content/Intent.getStringExtra(),0.0064975095790590215
APICall::Landroid/view/ViewGroup.isInEditMode(),0.006007807605699328
APICall::Landroid/util/Xml.newSerializer(),0.005837696977510187
APICall::Landroid/os/Parcel.writeInterfaceToken(),0.0057767880798554605
APICall::Landroid/os/IBinder.queryLocalInterface(),0.0056080076059719375
APICall::Landroid/os/SystemClock.uptimeMillis(),0.0053375385221050425
APICall::Landroid/view/MotionEvent.obtain(),0.0048686498360088065
APICall::Landroid/content/ContentValues.put(),0.004564631337013125
APICall::Landroid/view/View.setVisibility(),0.004502736643301711
Permission::INTERNET,0.004476448635112033
APICall::Landroid/content/Context.getApplicationInfo(),0.004431714160473096
APICall::Landroid/os/Parcel.readFloat(),0.004387489633149361
APICall::Landroid/content/Intent.getData(),0.004147603057382668
APICall::Landroid/os/Handler.removeMessages(),0.004147389315802857
APICall::Landroid/widget/RelativeLayout.onAttachedToWindow(),0.003770835802681116
APICall::Landroid/view/SubMenu.setHeaderTitle(),0.0036712910395288595
APICall::Landroid/content/pm/PackageManager.getApplicationInfo(),0.003366790733454361
APICall::Landroid/view/View$MeasureSpec.makeMeasureSpec(),0.0031248147211601074
APICall::Landroid/widget/AdapterView$OnItemClickListener.onItemClick(),0.002870837399283954
APICall::Landroid/view/ViewGroup.setTranslationY(),0.002732763113513701
APICall::Landroid/os/Parcel.recycle(),0.0026205537064716705
APICall::Landroid/os/Parcel.obtain(),0.0025479578590623525
APICall::Landroid/util/Base64.encodeToString(),0.0024179708097693403
APICall::Landroid/view/View.isShown(),0.0023969837980812314
APICall::Landroid/view/MenuItem.setShortcut(),0.002393095560455971
APICall::Landroid/os/IBinder.transact(),0.0021738813722037426
Intent::AUDIO_BECOMING_NOISY,0.002020216274351199
APICall::Landroid/view/ViewTreeObserver.removeGlobalOnLayoutListener(),0.001920855238430691
APICall::Landroid/widget/PopupWindow.setWindowLayoutMode(),0.0017075676516966898
APICall::Landroid/content/Intent.makeMainActivity(),0.0017060153031461245
APICall::Landroid/view/View.setOnTouchListener(),0.001203676654970287
APICall::Landroid/content/Intent.toUri(),0.001118674520668883
APICall::Landroid/content/Context.checkCallingOrSelfPermission(),0.0010686688050088045
APICall::Landroid/view/animation/Transformation.getAlpha(),0.0009583533047820697
APICall::Landroid/util/Base64OutputStream.close(),0.0009173873123690113
APICall::Landroid/util/Base64OutputStream.write(),0.0007385667066316381
APICall::Landroid/os/Binder.getCallingPid(),0.0006866717568299041
APICall::Landroid/widget/TextView.setTypeface(),0.0005593531189250489
APICall::Landroid/os/IBinder.linkToDeath(),0.0005401883149844244
APICall::Landroid/view/ViewConfiguration.getScaledPagingTouchSlop(),0.0005137975115623306
APICall::Landroid/widget/ImageView.setId(),0.0005052720560662083
APICall::Landroid/view/View.setTag(),0.000492714301688929
APICall::Landroid/os/Bundle.getParcelableArrayList(),0.0004779864393597011
APICall::Landroid/view/accessibility/AccessibilityNodeInfo.setLongClickable(),0.0004635774529063996
APICall::Landroid/widget/LinearLayout.requestFocus(),0.00041728446290561355
APICall::Landroid/view/accessibility/AccessibilityNodeInfo.setPackageName(),0.0004011730251792245
APICall::Landroid/widget/PopupWindow.setOutsideTouchable(),0.00037275614956266967
APICall::Landroid/widget/PopupWindow.showAsDropDown(),0.00036111496935170573
APICall::Landroid/content/pm/PackageManager.queryIntentServices(),0.0003144592058871021
APICall::Landroid/content/SharedPreferences$Editor.putInt(),0.00020666595107529662
APICall::Landroid/text/Html.fromHtml(),0.0001430207440225595
