Permission::WAKE_LOCK,Permission::WRITE_SETTINGS,Permission::WRITE_EXTERNAL_STORAGE,APICall::Landroid/view/ViewStub.setLayoutResource(),APICall::Landroid/net/wifi/WifiManager$WifiLock.release(),APICall::Landroid/net/wifi/WifiManager$WifiLock.isHeld(),APICall::Landroid/net/http/HttpResponseCache.getInstalled(),APICall::Landroid/content/Intent.setType(),APICall::Landroid/view/MenuItem.getIntent(),APICall::Landroid/content/Intent.putExtra(),APICall::Landroid/widget/ImageView.getLayoutParams(),APICall::Landroid/os/Bundle.getBoolean(),APICall::Landroid/content/Intent.hasExtra(),APICall::Landroid/content/Intent.createChooser(),APICall::Landroid/widget/PopupWindow.setOnDismissListener(),APICall::Landroid/widget/ListAdapter.unregisterDataSetObserver(),APICall::Landroid/view/ViewGroup.onInitializeAccessibilityEvent(),APICall::Landroid/widget/PopupWindow.setBackgroundDrawable(),Permission::ACCESS_NETWORK_STATE,APICall::Landroid/widget/PopupWindow.setTouchInterceptor(),APICall::Landroid/widget/ListAdapter.registerDataSetObserver(),APICall::Landroid/view/LayoutInflater.from(),APICall::Landroid/widget/PopupWindow.setFocusable(),APICall::Landroid/view/MenuItem.getGroupId(),APICall::Landroid/content/IntentFilter.addDataScheme(),APICall::Landroid/view/MenuItem.getIcon(),APICall::Landroid/view/Menu.add(),APICall::Landroid/content/pm/PackageManager.getActivityIcon(),APICall::Landroid/content/Intent.getStringExtra(),APICall::Landroid/view/ViewGroup.isInEditMode(),APICall::Landroid/util/Xml.newSerializer(),APICall::Landroid/os/Parcel.writeInterfaceToken(),APICall::Landroid/os/IBinder.queryLocalInterface(),APICall::Landroid/os/SystemClock.uptimeMillis(),APICall::Landroid/view/MotionEvent.obtain(),APICall::Landroid/content/ContentValues.put(),APICall::Landroid/view/View.setVisibility(),Permission::INTERNET,APICall::Landroid/content/Context.getApplicationInfo(),APICall::Landroid/os/Parcel.readFloat(),APICall::Landroid/content/Intent.getData(),APICall::Landroid/os/Handler.removeMessages(),label
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1
1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
